Реестровый номер закупки,Наименование закупки,Идентификационный код закупки,Начальная (максимальная) цена контракта
№32515209601,Оказание услуг по организации лечебного питания пациентов ГАУЗ РКОД Минздрава РБ в 2025-2028гг											 ,,387703037.51
№0301200046625000332,Поставка комплектующих материалов для компьютера,'252027806783302730100103740022620244',624269.94
№0307100003325000114,Поставка комплектующих для компьютеров,'251110148157411010100100020080000244',370056.0
№0266100000325000039,"Оказание услуг по продлению неисключительных (пользовательских) прав на программное обеспечение для управления процессами и мероприятиями по защите информации ""АльфаДок"" на 2 года",'251710702618871060100100230015829244',270000.0
№0366200025325000167,Оказание услуг по специальной оценки условий труда,'252710751931371030100100191710000000',98345.0
№0851100001925000476,Оказание услуг по охране от пожаров организаций и (или) населенных пунктов для обеспечения государственных нужд ,'251770989550954024300100293840000244',199127.33
№32515195035,Аптечки первой помощи работникам,,19401.0
№32515210416,"Оказание услуг по администрированию, техническому обслуживанию и бесперебойной работе государственной информационной системы «Типовое облачное решение по автоматизации контрольной (надзорной) деятельности",,9990000.0
№0356500001425007574,Поставка автомобиля грузового с краном-манипулятором,'253590440431059040100100190010000244',15381666.67
№0172200004325000340,Выполнение работ по монтажу системы видеонаблюдения,'252780440046778040100100430014321244',3058283.66
№0123300039725000001,поставка котла водогрейного для котельной с. Стойба Селемджинского района Амурской области,'253282500055928250100100050012521244',1150053.0
№0131200001025007195,2025-07784_Поставка оборудования (кресло офисное),'252362001356636200100100070140000243',242339.88
№0162300005725000105,"Устройство полов по адресу: Российская Федерация, Свердловская область, г. Алапаевск, ул. Павлова, д. 41",'253660101020566770100100120014333244',1500000.0
№0334200002525000440,"Поставка расходного материла (Набор для катетеризации центральных вен, кратковременного использования)",'252380901633838490100103010093250244',862490.0
№0106200001425000026,"Выполнение работ по разработке территориальной схемы обращения с отходами производства и потребления Республики Карелия, включая разработку электронной модели указанной территориальной схемы",'252100101609010010100100240016201244',7600000.0
№0301300016025000361,Оказание транспортных услуг по перевозке пациентов с хронической почечной недостаточностью к месту проведения процедуры гемодиализа в 2025 году,'252026400593202640100104900024939244',607149.88
№0801200000125000027,"Поставка музыкальных центров для объекта ""Строительство средней общеобразовательной школы на 640 ученических мест с детским садом на 160 мест в микрорайоне “Восточный-1” с. Аскарово Абзелиловского района РБ"" (национальный проект ""Демография"")",'252027817647002760100100630012640414',260964.69
№0127200000225005266,"Поставка картриджей для нужд ГБУЗ ""БОПБ № 3""",'252321400559432450100100760012620244',23861.7
№0320300028125000063,Выполнение работ по ремонту участка автомобильной дороги по ул.Железнодорожная в с.Вольно-Надеждинское,'253252100124725210100101660014211244',4822235.27
№0387200009125004224,"Поставка лекарственных препаратов для медицинского применения для обеспечения отдельных категорий граждан, проживающих на территории Ханты-Мансийского автономного округа – Югры и страдающих некоторыми видами заболеваний, при лечении которых лекарственные средства, медицинские изделия и специализированные продукты лечебного питания предоставляются по рецептам за счет средств бюджета автономного округа в 2026 году",'252860103583886020100101360912120323',454503.0
№32515210415,Оказание услуг по поставке и установке сертифицированного межсетевого экрана,,1834200.0
№0174500001125004925,на оказание услуг по разработке экологической документации,'252920400730792040100100390160000244',94333.38
№0387200009125004240,"Поставка лекарственного препарата для медицинского применения Метотрексат для обеспечения отдельных категорий граждан, проживающих на территории Ханты-Мансийского автономного округа – Югры и страдающих некоторыми видами заболеваний, при лечении которых лекарственные средства, медицинские изделия и специализированные продукты лечебного питания предоставляются по рецептам за счет средств бюджета автономного округа в 2026 году",'252860103583886020100101360842120323',16025809.68
№0387200009125004222,"Поставка лекарственного препарата для медицинского применения Индапамид для обеспечения профилактики развития сердечно-сосудистых заболеваний и сердечно-сосудистых осложнений у пациентов высокого риска, находящихся на диспансерном наблюдении в Ханты-Мансийском автономном округе – Югре, в рамках реализации Регионального проекта ""Борьба с сердечно-сосудистыми заболеваниями"" в 2026 году",'252860103583886020100101410032120323',77430.0
№0387200009125004239,"Поставка лекарственного препарата для медицинского применения Упадацитиниб для обеспечения отдельных категорий граждан, проживающих на территории Ханты-Мансийского автономного округа – Югры, включенных в региональный сегмент Федерального регистра лиц, за счет средств, предоставляемых из федерального бюджета бюджетам субъектов РФ на реализацию отдельных полномочий в области оказания государственной социальной помощи в 2026 году",'252860103583886020100101370822120323',6893149.2
№0387200009125004223,"Поставка лекарственного препарата для медицинского применения Ацетилсалициловая кислота для обеспечения профилактики развития сердечно-сосудистых заболеваний и сердечно-сосудистых осложнений у пациентов высокого риска, находящихся на диспансерном наблюдении в Ханты-Мансийском автономном округе – Югре, в рамках реализации Регионального проекта ""Борьба с сердечно-сосудистыми заболеваниями"" в 2026 году",'252860103583886020100101410072120323',485460.0
№0387200009125004232,"Поставка лекарственного препарата для медицинского применения Линаглиптин для обеспечения отдельных категорий граждан, проживающих на территории Ханты-Мансийского автономного округа – Югры и страдающих некоторыми видами заболеваний, при лечении которых лекарственные средства, медицинские изделия и специализированные продукты лечебного питания предоставляются по рецептам  за счет средств бюджета автономного округа  в 2026 году",'252860103583886020100101360882120323',72856852.2
№0335200014925002891,на поставку лекарственных препаратов для медицинского применения (МНН:КЕТОПРОФЕН),'252391751525339060100100810520000323',45830.4
№0327200017325000121,Оказание услуг по организации временного трудоустройства несовершеннолетних граждан в возрасте от 14 до 18 лет в свободное от учебы время,'252325550026032570100101310017830244',59754.3
№32515210413,Оказание услуг по ремонту бытовой техники в общежитиях СЗИУ РАНХиГС,,58735.0
№0815500000525012306,"Поставка электронных носителей информации «Рутокен ЭЦП 3.0 3120, сертификат ФСБ»",'252211900252021190100100920012620244',107200.0
№32515207796,"Оказание услуг по добровольному медицинскому страхованию работников ФГБУ «АМП Приморского края и Восточной Арктики», включая службу капитана морского порта Владивосток",,9999825.0
№0864500000225003097,Поставка канцелярских товаров,'252682906093368290100100960010000244',411054.5
№32515210412,Поставка гороха шлифованного (фас. 3 кг),,190000.0
№0371200015825000044,"Поставка расходных материалов (набор для урологических общехирургических процедур, не содержащий лекарственные средства, одноразового использования)",'252760206382976020100102240013250244',275603.65
№0317300301925001352,Выполнение работ по капитальному ремонту многоквартирного дома в г.Барнауле,'253222501830722250100101300014399243',82959907.09
№32515210411,Оказание услуг по дополнительному профессиональному образованию безработных граждан по программе профессиональной переподготовки «SMM-маркетинг: программа подготовки специалистов по продвижению товаров и услуг в социальных сетях»,,1237333.2
№32515207793,"Поставка двигателей внутреннего сгорания Caterpillar, Komatsu, согласно техническому заданию для нужд АО «Порт Ванино» (1163622)",,2900000.0
№0176300002125000019,Санитарное содержание улиц и мест общего пользования на территории   МО «Яблоновское городское поселение»,'253010600638701070100100270018129244',2099997.9
№0319200069525000151,На право поставки изделий медицинского назначения (контейнер для системы),'252244304735424430100102810013250244',52580.0
№32515210410,"Выполнение строительно-монтажных работ по объекту: «Газопровод среднего давления (подводящая сеть инженерно-технического обеспечения) к границам земельного участка по адресу: Санкт-Петербург, Муниципальный округ Ржевка, Индустриальный пр., уч.112, кадастровый номер 78:11:0612203:1456»",,3640692.0
№0335200014025000122,на поставку лекарственных препаратов для медицинского применения (МНН:Алимемазин),'252390604296839060100100440032120244',137760.0
№0128300006325000201,Поставка мяса в 4 квартале 2025 года для обеспечения нужд муниципальных бюджетных образовательных учреждений округа Муром,"253330700953833340100100450011011244, 253330701303733340100100340011011244, 253330701304433340100100340011011244, 253330701307633340100100360011011244, 253330701309033340100100090011011244, 253330701310033340100100330011011244, 253330701315733340100100330011011244, 253330701317133340100100520011011244, 253330701319633340100100310011011244, 253330701321333340100100600011011244, 253330701322033340100100350011011244, 253330701323833340100100300011011244, 253330701324533340100100300011011244, 253330701326033340100100590011011244, 253330701327733340100100350011011244, 253330701387033340100100350011011244, 253330701388733340100100340011011244, 253330701391133340100100260011011244, 253330701466533340100100590011011244, 253330701851833340100100590011011244, 253330701852533340100100590011012244, 253330701853233340100100290011011244, 253330701978333340100100590011011244, 253330701979033340100100590011011244, 253330701980033340100100590011011244, 253332000350333340100100320011011244, 253332000351033340100100400011011244, 253332000359933340100100380011011244, 253332000364833340100100560011011244, 253332000365533340100100770011011244, 253332000369433340100100410011011244, 253332000371133340100100620011011244, 253332000372933340100100380011011244, 253332000377533340100100270011011244, 253332000378233340100100550011011244, 253332000379033340100100510011011244, 253332000384933340100100710011011244, 253332000385633340100100320011011244, 253333400071033340100100350011011244, 253333401150433340100100340011011244, 253333401396733340100100590011011244",4555244.6
№0340200003325011805,Поставка лекарственных препаратов (Месалазин (ТН Салофальк)),'252434701047543450100100370170000323',6204.0
№32515145304,ОКПД2: 42.11.2 Восстановление нарушенного благоустройства после аварийных порывов на теплотрассах. Ремонт тепловых камер и колодцев Хабаровских тепловых сетей в г.Хабаровске Хабаровский край,,22880000.0
№0376300009225000153,"Стол/кушетка массажный, с питанием от сети",'252010700762601070100101870010000244',576663.33
№0103200008425006869,ОМиД 26 лот (Доп. медицинские изделия для мониторов),'252056204455005720100100180340000244',3488992.0
№0387200019225000074,"Оказание услуг по информационно-технологическому сопровождению программных продуктов «1С: Предприятие 8»: «1С: Бухгалтерия государственного учреждения» и «1С: Зарплата и Кадры бюджетного учреждения», ГИС «ЭС»",'252860220038686020100104210016203244',1107999.96
№0131200001025007080,2025-07830_Поставка лекарственного препарата для медицинского применения азитромицин,"252360700161036070100100470010000244, 252360800335336080100102180010000244, 252361600219136160100100410030000244, 252362100180636210100100280010000244, 252363000140036300100100230150000244, 252365000337136620100106200010000244, 252365000356536650100102440010000244, 252366101142336610100101380010000244, 252366200608836620100109090040000244, 252366301900136630100102370012120244, 252366304028236630100100690010000244, 252366500990836650100100080030000244, 252366501435136650100101330022120244, 252366603133536660100106020010000244, 252366615952936640100105160120000323",79820.34
№0813500000125017251,Катетер баллонный для ангиопластики периферических артерий,'252183300285418400100111180010000244',28000.0
№32515129145,"Оказание услуг по техническому обслуживанию и текущему ремонту транспортных средств и спецтехники в г.Тюмени (2025-2027) для нужд Тюменского филиала ООО ""Газпром проектирование"" (25/5.4/00087190/ГППроект)",,20158931.52
№0373200011425001319,Электронный аукцион на поставку гемостатических материалов для операционного блока №5 (на единицу продукции).,'252773409151977340100112990010000244',14065000.0
№0318300168725000072,Полка навесная,'253231007528923100100100070420000244',19466.68
№0194200000525005218,Поставка фармацевтических препаратов медицинских химических веществ и лекарственных растительных продуктов.,'253200300254620030100100010680000244',999011.63
№32515130260,"Поставка технологического оборудования для нужд ООО ""Оренбург Водоканал""",,2172220.85
№0851200000625006295,"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного  сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными экземплярами Систем КонсультантПлюс для депутатов Государственной Думы Федерального Собрания Российской Федерации от Новосибирской области и их помощников",'252540663645254060100100260016203242',876256.8
№32515210409,Передвижной многофункциональный культурный центр (автоклуб),,9960000.0
№0372200081725000022,Оказание услуг по замеру сопротивления изоляции,'252781901991378190100100310017120244',18155.51
№0157600001725000124,"Поставка полуфабрикатов (пельмени, котлеты) для МБОУ ""ПСОШ№3""",'253601500468060150100100440011013244',232863.0
№32515210408,Лампа Н-4,,460.0
№0301300017225000180,Молоко питьевое,'252020200061302020100106470020000244',167200.0
№0127200000225005265,Закупка лекарственных препаратов,'252321200063232450100100020780000244',27560.0
№0168500000625003086,"Система аспирационная общего назначения, с питанием от сети",'253732801362073280100101630013250244',999000.0
№0327200017325000120,Оказание услуг по организации временного трудоустройства несовершеннолетних граждан в возрасте от 14 до 18 лет в свободное от учебы время,'252325550026032570100101300017830244',131459.46
№0131200001025007079,2025-07800_Поставка лекарственного препарата для медицинского применения латанопрост,"252366601806036660100100630110000244, 252366615952936640100105161200000323",835372.51
№0815500000525012305,Поставка манжет для измерения артериального давления многоразового использования,'253212870009521300100102060013250244',48450.0
№0332100047125000016,Продление неисключительных прав (лицензий) на комплекс антивирусных программных продуктов компании Касперский для нужд отделов (инспекций) ПУМТУ Росстандарта,'251526213096952620100100150016201242',171000.0
№0137200001225005513,Поставка продуктов питания (масло сливочное и творог),'253402702683940270100100260011051244',2784575.0
№0334300228225000230,поставка расходного материала (шприцы),'252382000126138510100101980023250244',822500.0
№0137200001225005512,Поставка продуктов питания (овощи),'253402702683940270100100250010113244',3037762.0
№0335200014925002890,на поставку лекарственных препаратов для медицинского применения (МНН:КЕТОПРОФЕН),'252391751525339060100100810530000323',122631.0
№0318200030825000037,Услуги частной охраны (Выставление поста охраны),'252234301563023430100100480018010244',219600.0
№0190300002125000503,"Поставка продуктов питания (1875, Преимущество, ОИ)",'253890103928789010100100410011039244',807214.1
№32515210407,Оказание услуг по перевозке дорожных лабораторий контроля качества дорожных работ,,600000.0
№0848300053225000437,"Обустройство спортивной площадки на территории ДО МБОУ ""СОШ №10""",'253504301405350430100100240014299244',2177552.53
№0137200001225005511,Поставка продуктов питания (хлеб),'253402702683940270100100220011071244',824625.64
№32515208518,Поставка масла сливочного,,44500000.0
№0101300045625000095,"Поставка мойки высокого давления для нужд муниципального казенного учреждения ""Управление культуры муниципального района Белорецкий район Республики Башкортостан""",'253025601121002560100100120012829244',42466.67
№32515210406,Оказание услуг по дополнительному профессиональному образованию безработных граждан по программе повышения квалификации «Управление человеческими ресурсами (НR-менеджмент)»,,1020000.0
№0137200001225005510,Поставка нефтепродуктов,'253400301345340030100100100011920244',376000.0
№0878500000225001372,Оказание услуг по организации поверки газосигнализаторов,'252790152573679010100100780014520244',619899.1
№0859200001125010514,Поставка медицинского оборудования,'252621500302762150100101310012660244',129360.0
№32515069623,"Право заключения договора на оказание услуг по техническому обслуживанию систем контроля доступа для нужд ПАО ""Россети Центр"" (филиала ""Воронежэнерго"")",,624000.0
№0336100008325000134,Поставка имн для нужд ФБУЗ ЦМСЧ 141 ФМБА России в 2025 году (3),'251691601150969160100100150710000244',750000.0
№0334200002525000448,"Поставка реагентов для закрытой автоматической мочевой станции DIRUI FUS-100 + H-800, имеющаяся у Заказчика",'252380901633838490100102650010000244',573275.3
№32515169008,"Поставка бензоинструмента и его комплектующих  для ООО ""Башкирэнерго"", ООО ""БСК"" 26-000096 (4153090)",,3998632.43
№32515169008,"Поставка бензоинструмента и его комплектующих  для ООО ""Башкирэнерго"", ООО ""БСК"" 26-000096 (4153090)",,827389.82
№0139300002825000110,Оказание услуг по ликвидации места несанкционированного размещения отходов в районе д. Сарапки    Крапивинского муниципального округа,'253421204152842120100100340023811244',19890780.0
№0352300166725000130,Поставка профнастила оцинкованного и саморезов кровельных. (Реестровый номер 2025.059605),'252551800592055180100101450010000244',194200.0
№0851200000625006040,Оказание услуг по проведению областной профильной смены «Время возможностей» для членов вожатских отрядов школьников в организации отдыха детей и их оздоровления круглогодичного действия,'252540697907254060100101060728541323',1460400.0
№0311300390625000036,Продукты питания (мясо говядины бескостное на 4 квартал 2025 года),'252165103453016510100100010370000244',837628.0
№0356500001425007708,"Выполнение работ по проекту: ""Освещение аллеи от Ярмарочной площади до Городского парка""",'253595900439959590100100420010000244',2252661.19
№32515208847,Поставка продуктов питания (овощи),,464003.1
№0869200000225007806,"На поставку лекарственного препарата для медицинского применения – МИКОФЕНОЛОВАЯ КИСЛОТА (торговое наименование ""МАЙФОРТИК"") для оказания отдельным категориям граждан социальной услуги по обеспечению лекарственными препаратами для медицинского применения по рецептам на лекарственные препараты, медицинскими изделиями по рецептам на медицинские изделия, а также специализированными продуктами лечебного питания для детей-инвалидов",'252745313582774530100100334810000000',27336.0
№0372200113425000227,"Поставка датчиков пульсоксиметра одноразового использования для нужд СПб ГБУЗ ""Городской перинатальный центр № 1"" в 2025 году",'252781101875678110100102170012660244',992250.0
№0818500000825006739,Поставка автомобильного бензина через автозаправочные станции (АЗС),'252230809395723110100101200021920244',800000.0
№0851100001925000475,Оказание услуг по техническому обслуживанию систем видеонаблюдения для обеспечения государственных нужд Управления Федерального казначейства по Новосибирской области,'251770989550954024300100293870000244',250000.0
№0320300026925000061,Аренда медицинского оборудования (стоматологическая установка),'252252100001025210100100510027739244',642000.0
№32515208845,Поставка перевязочного материала на 4 квартал 2025 года,,86673.58
№32515210403,Незамерзающая жидкость,,1575.0
№0168200000525000003,"Мониторы, подключаемые к компьютеру",'252732508591673250100100030022620242',130000.0
№0128300006325000202,Поставка круп и овсяных хлопьев в 4 квартале 2025 года для обеспече-ния нужд муниципальных бюджетных образовательных учреждений округа Муром,"253330700953833340100100430010000244, 253330701303733340100100360010000244, 253330701304433340100100360010000244, 253330701307633340100100330010000244, 253330701309033340100100150010000244, 253330701310033340100100340010000244, 253330701315733340100100340010000244, 253330701317133340100100090010000244, 253330701319633340100100330010000244, 253330701321333340100100250010000244, 253330701322033340100100320010000244, 253330701323833340100100320010000244, 253330701324533340100100330010000244, 253330701326033340100100520010000244, 253330701327733340100100320010000244, 253330701387033340100100320010000244, 253330701388733340100100310010000244, 253330701391133340100100280010000244, 253330701466533340100100450010000244, 253330701851833340100100090010000244, 253330701852533340100100100010000244, 253330701853233340100100310010000244, 253330701978333340100100520010000244, 253330701979033340100100240010000244, 253330701980033340100100380010000244, 253332000350333340100100340010000244, 253332000351033340100100360010000244, 253332000359933340100100340010000244, 253332000364833340100100420010000244, 253332000365533340100100420010000244, 253332000369433340100100370010000244, 253332000371133340100100860010000244, 253332000372933340100100360010000244, 253332000377533340100100340010000244, 253332000378233340100100180010000244, 253332000379033340100100030010000244, 253332000384933340100100590010000244, 253332000385633340100100800010000244, 253333400071033340100100320010000244, 253333401150433340100100310010000244, 253333401396733340100100380010000244",323335.03
№0318300168725000071,Тумба офисная деревянная,'253231007528923100100100070410000244',44200.02
№0340200003325011734,Поставка бензина автомобильного АИ-92 экологического класса не ниже К5 (розничной реализации),'252434521657643450100100140021920244',3046262.55
№0815500000525012303,Оказание услуг по проведению бактериологических исследований,'252212403685321240100101490018690244',2700000.0
№0127200000225005264,Поставка компьютерной техники для нужд департамента региональной безопасности Брянской области,'252325704882832570100100090012620244',237500.01
№32515209592,Поставка товара,,184950.0
№0335300002225000048,на поставку бумаги (бумага для офисной техники),'252390901057039090100101100011712244',97560.0
№0310200000325002471,Поставка изделий медицинского назначения (Дефибриллятор внешний с ручным управлением),'252150400123815130100101250012660244',710609.33
№32515210401," Поставка провода СИП-3 1х50-20, 1х70-20 для нужд ООО «Павловоэнерго",,961599.6
№0818500000825006528,Поставка ружья огнестрельного гладкоствольного длинноствольного (12 калибр),'252231017333523100100100310032540244',1850000.0
№0815500000525012304,Поставка стоматологических расходных материалов,'252211643010121160100101390040000244',28260.0
№0334200002525000450,"Поставка реагентов для патологоанатомической лаборатории к закрытому иммуногистостейнеру BOND™ – III, имеющемуся у заказчика",'252380901633838490100103250012120244',675900.0
№32515209591,Приобретение и монтаж  комплекта одежды сцены филиала муниципального автономного учреждения «Районный дом культуры» Новомещеровская центральная клубная система муниципального района Мечетлинский район Республики Башкортостан,,578000.0
№0327200017325000119,Оказание услуг по организации временного трудоустройства несовершеннолетних граждан в возрасте от 14 до 18 лет в свободное от учебы время,'252325550026032570100101290017830244',83707.47
№0301200052125000684,"Поставка строительных материалов (линолеум, пороги стыкоперекрывающие)",'252027403610402780100113210010000244',170113.9
№0348100009325000017,Поставка мебели для нужд ФКУ «ГБ МСЭ по Московской области» Минтруда России,'251771458491877140100100270010000244',215572.0
№0322300001025000126,Поставка запасных частей для автомобилей,'252272301543627230100100880030000244',123273.37
№32515210399,"Закупка у единственного поставщика (подрядчика, исполнителя) на право заключения договора на оказание услуг по разгрузке и очистке железнодорожных вагонов на железнодорожных путях общего пользования и перевозке угля каменного на склад котельной ГУП РК ""КарелКоммунЭнерго"", расположенной в пгт. Чупа Лоухского муниципального района Республики Карелия",,714000.0
№0853500000325006454,"на поставку сыров полутвердых для нужд ДСО №8 ГБУЗ ""Оренбургский областной клинический противотуберкулезный диспансер""",'252561003635056100100102160011051244',14733.4
№0320200003925000200,Рибавирин,'252253901023525390100100061052120244',117000.0
№32515168963,"Поставка электродов для нужд ООО ""Башкирэнерго"", ООО ""БСК"" 26-000488 (4153077)",,639862.21
№32515168963,"Поставка электродов для нужд ООО ""Башкирэнерго"", ООО ""БСК"" 26-000488 (4153077)",,35875.52
№0136600002625000194,Поставка нефтепродуктов,'253691301700569130100106750011920244',263960.0
№0139300002825000096,Поставка продуктов питания.,"253421202456142120100100090040000244, 253421202990842120100100090040000244, 253423500075042120100100120040000244, 253423500089542120100100120040000244, 253423500184242120100100130040000244, 253423500433942120100100130040000244, 253423500435342120100100100040000244, 253423500483642120100100090040000244, 253423500486842120100100090040000244",1204572.5
№32515209590,Поставка лекарственного препарата для ветеринарного применения,,101513.25
№0330200016225000055,Поставка мусорных мешков ,'252352507317035250100100030120000244',92281.0
№0817200000325015161,Оказание услуг по ремонту медицинского оборудования,'252222502106722250100103510013312244',390000.0
№0107300009525000209,"Оказание услуг по ликвидации несанкционированной свалки в районе лодочного кооператива ""Вихрь""",'253110501278111050100100540053811244',114439.48
№32515210398,Поставка паллетоупаковщика для нужд «Чебоксарского элеватора» - филиала АО «Чувашхлебопродукт»,,374535.33
№32515206675,"2025-0310. Выполнение строительно-монтажных работ, поставку оборудования и материалов по объектам: - «Реконструкция ВЛ-10 кВ Л-7 ТПС 110 кВ Окуловка, ВЛ-10 кВ Л-11 ПС 330 кВ Окуловская в Окуловском районе Новгородской области (ориентировочная протяжённость участков ЛЭП 9,35 км) (Соглашение о компенсации №КРП-НОВ-00008/24 рег №630/519/24 от 18.10.2024г. с ООО ""ВСМ Две Столицы""). 3 этап – Строительство участка Валдай ВСМ (вкл) - Выползово ВСМ (вкл.)»; - «Реконструкция ВЛ 110 кВ Окуловская - Окуловка-тяговая №1 (Л. Окуловская-1) (ориентировочная протяженность участка ЛЭП 5,55 км) в Окуловском районе Новгородской области (Соглашение о компенсации №КРП-НОВ-00008/24 рег №630/519/24 от 18.10.2024г. с ООО ""ВСМ Две Столицы""). 3 этап – Строительство участка Валдай ВСМ (вкл) - Выползово ВСМ (вкл.).»; - «Реконструкция ВЛ 110 кВ Окуловская - Окуловка-тяговая №2 (Л. Окуловская-2); - «Реконструкция ВЛ 110 кВ Окуловская - Варгусово / ВЛ 110 кВ Газовая - Варгусово»; - «Реконструкция ВЛ 35 кВ Угловка – Дом Отдыха Валдай с отпайкой на ПС Нелюшка (Л.Угловская-1) в Окуловском районе Новгородской области, входящей в электросетевой комплекс ПС-35 кВ Д.О. ""Валдай"" с ВЛ-35 кВ; - «Реконструкция ВЛ-10 кВ Л-40 ПС 330 кВ Окуловская, ВЛ-10 кВ Л-5, Л-10 ТПС 110 кВ Угловка в Окуловском районе Новгородской области» для нужд АО «Энергосервис Северо-Запада»",,1444565945.5
№0740100000125000094,Оказание услуг по оперативному и техническому обслуживанию высоковольтных электросетей 10кВ,'251431201915643120100100450013314244',527000.04
№0364300098725000003,Смесь асфальтобетонная,'253682907565868290100100200030000244',3513600.0
№0356500001425007707,«Прямушка» устройство пешеходной дорожки в с. Рождественское по улице Набережная,'253594804138159480100100480010000244',755307.01
№0318200037125000028,"Капитальный ремонт подпорной стены  государственного бюджетного учреждения здравоохранения ""Центр профилактики и борьбы со СПИД №2"" министерства здравоохранения Краснодарского края по адресу: Краснодарский край, р-н Туапсинский, г. Туапсе, ул. Армавирская, 4",'252236500401523650100101070024299243',583562.92
№0190300002125000502,"Поставка продуктов питания (1875, Ограничение)",'253890103928789010100100390010000244',939416.1
№0338200010525000115,Телефонный аппарат,'252410000890041010100100540200000244',20300.0
№0330300061525000060,"Поставка   медицинского изделия (Холодильник лабораторный, базовый, Холодильник фармацевтический)  ввод в эксплуатацию медицинских изделий, обучение правилам эксплуатации специалистов Заказчика, эксплуатирующих медицинские изделия ",'252351800098235180100100200040000244',198000.0
№0127200000225005140,Закупка хозяйственных товаров,'252321200063232450100101590040000244',70670.39
№0372100021625000190,Продукты пищевые,'251782000982178200100100220020000244',40842074.67
№0344100003425000109,оказание услуг по проведению специальной оценке условий труда,'251462902912146320100101431587120244',334950.0
№0334200002525000453,"Поставка реагентов для патологоанатомического отделения к автоматическому устройству VENTANA BENCHMARK XT, имеющемуся у Заказчика",'252380901633838490100101670042120244',308987.07
№0833200000125000055,Оказание услуг по обучению,'252370264311037020100100400038542244',46000.0
№0361200015025004822,Поставка расходного материала для офтальмологической хирургии,'252650102556865010100109730013250244',504000.0
№0356200004225000148,Поставка лекарственного препарата для медицинского применения (Севофлуран),'252590426206259480100101880010000244',63490.64
№32515209588,Поставка изделий медицинского назначения (осцилляторная пила),,1345082.16
№32515208086,"оказание услуг связи по предоставлению L2VPN-каналов для единой сети передачи данных и предоставление доступа к информационным ресурсам информационно-телекоммуникационной сети Интернет для нужд ГАУ РС (Я) ""Мегино-Кангаласская ЦРБ",,4158000.0
№0327300000225000010,"Ремонт асфальтового покрытия на территории МБДОУ ""Детский сад №10 общеразвивающего вида"", расположенного по адресу: 243020,  Брянская обл., г. Новозыбков, пл. Красная, д.8",'253320400429532410100100160044399244',1141910.0
№0335200014925002798,Оказание услуг по сопровождению справочно-правовой системы «Гарант» (закупка услуг в сфере информационно-коммуникационных технологий),'252390507828839060100100220016311242',131616.0
